id,name,english name,English Set Equilalent,printed_total,total,release_date,logo_url
SV4a,ไชนีเทรเชอร์ex,Shiny Treasure ex,Paldean Fates,190,360,1/1/2024,https://asia.pokemon-card.com/th/archive/special/card/sv4a/assets/images/product-image-1.png
SV4M,ประกายแสงจากอนาคต,Future Flash,Paradox Rift,66,92,12/1/2023,https://asia.pokemon-card.com/th/archive/special/card/sv4/assets/images/product-image-1.png
SV4K,เสียงคำรามจากอดีต,Ancient Roar,Paradox Rift,66,95,12/1/2023,https://asia.pokemon-card.com/th/archive/special/card/sv4/assets/images/product-image-2.png
SV3a,คลื่นพิโรธ,Wave of Fury,Paradox Rift,62,92,10/1/2023,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2023/09/th_news_sv3a_Booster.png
SV3,ราชาแห่งเพลิงกาฬ,King of the Black Flame,Obsidian Flames,108,141,9/1/2023,https://asia.pokemon-card.com/th/archive/special/card/sv3/assets/images/product-image-1.png
SV2a,โปเกมอนการ์ด 151,Pokémon 151,Pokémon 151,165,210,7/1/2023,https://asia.pokemon-card.com/th/archive/special/card/sv2a/assets/images/product-image-1.png
SV2D,เคลย์เบิสต์,Clay Burst,Paldea Evolved,71,99,6/1/2023,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2023/05/th_news_SV2P_Booster.png
SV2P,สโนว์ฮาซาร์ด,Snow Hazard,Paldea Evolved,71,99,6/1/2023,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2023/05/th_news_SV2P_Booster_THA.png
SV1a,ทริปเปิลบีต,Triple Beat,Paldea Evolved,73,103,4/1/2023,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2023/03/th_news_SV1a_Booster_PKG.png
SV1V,ไวโอเล็ต ex,Violet ex,Scarlet & Violet,78,108,2/1/2023,https://asia.pokemon-card.com/th/card-img/products/SV1V_BOOSTER_THA.png
SV1S,สการ์เล็ต ex,Scarlet ex,Scarlet & Violet,78,108,2/1/2023,https://asia.pokemon-card.com/th/card-img/products/SV1S_BOOSTER_THA.png
S12a,จักรวาลแห่งVSTAR,VSTAR Universe,,172,262,12/1/2022,https://asia.pokemon-card.com/th/archive/special/card/s12a/assets/images/product-img-1.png
S12,ปฐมบทแห่งยุคใหม่ ,Paradigm Trigger,,98,125,11/1/2022,https://asia.pokemon-card.com/th/archive/special/card/s12/assets/images/product-img-1.png
S11a,อาร์คานาแห่งประกายแสง,Incandescent Arcana,,68,94,9/1/2022,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2022/08/th_news_S11a_Booster.png
S11,ทริปเปิลบีต,Lost Abyss,,100,125,8/1/2022,https://asia.pokemon-card.com/th/archive/special/card/s11/assets/images/news-product-1.png
S10b,Pokémon GO,Pokémon GO,,71,71,6/1/2022,https://asia.pokemon-card.com/th/archive/special/card/s10b/assets/images/product-img-1.png
S10a,อันธการลวงตา,Dark Phantasma,,71,93,7/1/2022,https://asia.pokemon-card.com/th/wp-content/uploads/sites/4/2022/07/th_news_S10a_booster-3.png
S10P,จอมมายาผ่ามิติ ,Space Juggler,,67,92,5/1/2022,https://asia.pokemon-card.com/th/card-img/products/S10P_Booster_THA.png
S10D,เจ้าแห่งกาลเวลา,Time Gazer,,67,92,5/1/2022,https://asia.pokemon-card.com/th/archive/special/card/s10/assets/images/product-img-1.png
S9a,พสุธามหายุทธ,Battle Region,,67,93,4/29/2022,https://asia.pokemon-card.com/th/card-img/products/S9a_Booster_THA.png
S9,สตาร์เบิร์ท,Star Birth,,100,125,2/1/2022,https://asia.pokemon-card.com/th/card-img/products/S9_Booster_Thai.png
S8b,VMAX ไคลแมกซ์,VMAX Climax,,184,285,12/1/2021,https://asia.pokemon-card.com/th/card-img/products/S8b_Booster_THA.png
S8a,คอลเลกชันฉลองครบรอบ 25 ปี ,25th Anniversary Collection,,28,28,10/1/2021,https://card25th.portal-pokemon.com/assets/img/card/s8a/th/img_pack.png
S8,ฟิวชันอาร์ต ,Fusion Arts,,100,125,11/1/2021,https://asia.pokemon-card.com/th/archive/special/card/s8/img/s8_fusion.png
S7D,เพอร์เฟคระฟ้า,Skyscraping Perfection,,67,92,9/1/2021,https://asia.pokemon-card.com/th/archive/special/card/s7/img/S7D.png
S7R,สายน้ำแห่งนภา,Blue Sky,,67,92,9/1/2021,https://asia.pokemon-card.com/th/archive/special/card/s7/img/S7R.png
S6a,อีวุยฮีโร ,Eevee Heroes,,69,101,6/1/2021,https://asia.pokemon-card.com/th/card-img/products/S6a_Booster_Thai.png
S6h,หอกหิมะขาว,Chilling Reign,,70,81,5/1/2021,https://asia.pokemon-card.com/th/archive/special/card/s6/images/booster_s6h.png
s6k,ภูตทมิฬ,Chilling Reign,,70,81,5/1/2021,https://asia.pokemon-card.com/th/archive/special/card/s6/images/booster_s6k.png
S5a,สองยอดนักสู้,Peerless Fighters,,70,93,4/1/2021,https://asia.pokemon-card.com/th/card-img/products/S5a_Booster_Thai.png
S5I,มาสเตอร์จู่โจมครั้งเดียว,Single Strike Master,,70,91,03/26/21,https://asia.pokemon-card.com/th/card-img/products/Booster_S5I_TH.png
S5R,มาสเตอร์จู่โจมต่อเนื่อง,Rapid Strike Master,,70,91,03/26/21,https://asia.pokemon-card.com/th/card-img/products/Booster_S5R_TH.png
SC3a,ไชนี VMAX คอลเลกชัน A,Shiny VMAX Collection,,159,330,1/29/2021,https://asia.pokemon-card.com/th/card-img/products/Thai_SC3a_SetA.png
SC3b,ไชนี VMAX คอลเลกชัน B,Shiny VMAX Collection,,158,318,1/29/2021,https://asia.pokemon-card.com/th/card-img/products/Thai_SC3a_SetB%20.png
SC1a,ซอร์ด แอนด์ ชีลด์ ชุด A,Sword & Shield Set A,,154,182,9/8/2020,https://asia.pokemon-card.com/th/card-img/products/Booster%20SC1%20setA.png
SC1b,ซอร์ด แอนด์ ชีลด์ ชุด B,Sword & Shield Set B,,153,183,9/8/2020,https://asia.pokemon-card.com/th/card-img/products/Booster%20SC1%20setB.png
