th_number,th_name,phash,en_match,price
"066/123","แลนโดลอส","d=8","me03#041 Landorus","10 THB (en 0.1USD)"
"067/123","คาเมเทเทะ","d=6","me03#042 Binacle","10 THB (en 0.15USD)"
"068/123","กาเมโนเดส","d=5","me03#043 Barbaracle","10 THB (en 0.16USD)"
"069/123","จิโกรัส","d=7","me03#044 Tyrunt","10 THB (en 0.22USD)"
"070/123","กาจิโกรัส","d=5","me03#045 Tyrantrum","10 THB (en 0.28USD)"
"071/123","ลูจาบูล","d=8","me03#046 Hawlucha","10 THB (en 0.12USD)"
"072/123","เมเลซี","d=6","me02.5#117 Carbink","10 THB (en 0.28USD)"
"073/123","เมก้าซีการ์ดex","d=7","me03#047 Mega Zygarde ex","10 THB (en 0.48USD)"
"074/123","โกส","d=4","me03#048 Gastly","10 THB (en 0.1USD)"
"075/123","โกสท์","d=4","me03#049 Haunter","10 THB (en 0.22USD)"
"076/123","เก็งกา","d=2","me03#050 Gengar","15.18 THB (en 0.77USD)"
"077/123","สกอร์ปี","d=3","me03#051 Skorupi","10 THB (en 0.09USD)"
"078/123","โดราเปียน","d=5","me03#052 Drapion","10 THB (en 0.08USD)"
"079/123","อีเวลทอลex","SKIP d=14","me03#053","Yveltal ex"
"080/123","ฮูปา","d=4","me02.5#141 Hoopa","10 THB (en 0.25USD)"
"081/123","เป้าเจี้ยน","d=4","me03#054 Chien-Pao","10 THB (en 0.21USD)"
"082/123","เมก้าแอร์มุโดex","d=11","me03#055 Mega Skarmory ex","11.83 THB (en 0.6USD)"
"083/123","คูชีท","d=2","me02.5#144 Mawile","10 THB (en 0.28USD)"
"084/123","ฮิโตทซึกิ","d=3","me03#056 Honedge","10 THB (en 0.07USD)"
"085/123","นิดังกิล","d=4","me03#057 Doublade","10 THB (en 0.14USD)"
"086/123","กิลการ์ด","d=5","me03#058 Aegislash","10 THB (en 0.07USD)"
"087/123","เคลฟฟี","d=4","me03#059 Klefki","10 THB (en 0.13USD)"
"088/123","โครัตตา","d=6","me03#060 Rattata","10 THB (en 0.09USD)"
"089/123","รัตตา","d=6","me03#061 Raticate","10 THB (en 0.07USD)"
"090/123","เนียสex","d=11","me03#062 Meowth ex","75.72 THB (en 3.84USD)"
"091/123","คาบิกอน","d=7","me03#063 Snorlax","10 THB (en 0.19USD)"
"092/123","โนก็อจจิ <ของอาโอกิ>","d=6","me02.5#163 Larry's Dunsparce","10 THB (en 0.19USD)"
"093/123","โนโกก็อจจิex <ของอาโอกิ>","d=8","me02.5#164 Larry's Dudunsparce ex","15.58 THB (en 0.79USD)"
"094/123","เอเนโค","d=9","me02.5#165 Skitty","10 THB (en 0.18USD)"
"095/123","เอเนโคโรโระ","d=4","me02.5#166 Delcatty","10 THB (en 0.24USD)"
"096/123","มุคคูรุ <ของอาโอกิ>","d=5","me02.5#168 Larry's Starly","10 THB (en 0.2USD)"
"097/123","มุคูเบิร์ด <ของอาโอกิ>","d=4","me02.5#169 Larry's Staravia","10 THB (en 0.26USD)"
"098/123","มุคูฮอว์ก <ของอาโอกิ>","d=10","me02.5#170 Larry's Staraptor","10 THB (en 0.21USD)"
"099/123","เมก้าทาบุนเนะex","d=5","me02.5#172 Mega Audino ex","35.1 THB (en 1.78USD)"
"100/123","วาชิบอน <ของอาโอกิ>","d=9","me02.5#173 Larry's Rufflet","10 THB (en 0.15USD)"
"101/123","วอร์เกิล <ของอาโอกิ>","d=4","me02.5#174 Larry's Braviary","10 THB (en 0.26USD)"
"102/123","โฮรุบี","d=10","me03#064 Bunnelby","10 THB (en 0.03USD)"
"103/123","โฮรูโด","d=6","me03#065 Diggersby","10 THB (en 0.12USD)"
"104/123","ยายาโคมะ","d=3","me03#066 Fletchling","10 THB (en 0.09USD)"
"105/123","ทริมเมียน","d=2","me03#067 Furfrou","10 THB (en 0.06USD)"
"106/123","เน็คโคอาลา <ของอาโอกิ>","d=12","me02.5#175 Larry's Komala","10 THB (en 0.19USD)"
"107/123","จิจีลอน","d=6","me02.5#176 Drampa","10 THB (en 0.22USD)"
"108/123","ที่ปัดพลังงาน","d=5","me03#073 Energy Swatter","10 THB (en 0.13USD)"
"109/123","ฟอสซิลกรามเก่าแก่","d=9","me03#068 Antique Jaw Fossil","10 THB (en 0.17USD)"
"110/123","ฟอสซิลครีบเก่าแก่","d=7","me03#069 Antique Sail Fossil","10 THB (en 0.19USD)"
"111/123","โปเกมอนแท็บเล็ต","d=5","me03#081 Poké Pad","10 THB (en 0.41USD)"
"112/123","มิอาเรกาเล็ต","d=3","me03#078 Lumiose Galette","10 THB (en 0.1USD)"
"113/123","คอร์เมมโมรี","d=4","me03#070 Core Memory","10 THB (en 0.11USD)"
"114/123","พนักงานเสิร์ฟหญิง","d=4","me02.5#215 Waitress","14.79 THB (en 0.75USD)"
"115/123","ทาร์รากอน","d=4","me03#085 Tarragon","10 THB (en 0.09USD)"
"116/123","ปูร์","d=4","me03#079 Naveen","10 THB (en 0.14USD)"
"117/123","คำสั่งของบอส","d=4","me02.5#183 Boss's Orders","20.51 THB (en 1.04USD)"
"118/123","กำลังใจจากเม","d=3","me03#084 Rosa's Encouragement","10 THB (en 0.17USD)"
"119/123","ยูคาริ","d=5","me03#075 Jacinthe","10 THB (en 0.15USD)"
"120/123","มิอาเรซิตี้","d=4","me03#077 Lumiose City","10 THB (en 0.07USD)"
"121/123","เอนเนอร์จี้โกรว์[หญ้า]","d=4","me03#086 Growing Grass Energy","10 THB (en 0.2USD)"
"122/123","เอนเนอร์จี้เทเลพาท[พลังจิต]","d=7","me03#088 Telepathic Psychic Energy","10 THB (en 0.25USD)"
"123/123","เอนเนอร์จี้ร็อก[ต่อสู้]","d=4","me03#087 Rocky Fighting Energy","10 THB (en 0.24USD)"
"124/123","มอนจารา <ของเอริกะ>","d=2","me02.5#218 Erika's Tangela","534.54 THB (en 27.11USD)"
"125/123","โคฟูไร","d=3","me03#089 Spewpa","49.49 THB (en 2.51USD)"
"126/123","โมคุโร","d=10","me03#090 Rowlet","126.78 THB (en 6.43USD)"
"127/123","ไฟร์แอโรว์","d=8","me03#091 Talonflame","48.7 THB (en 2.47USD)"
"128/123","เอ็นนิวท์","d=4","me02.5#224 Salazzle","78.87 THB (en 4USD)"
"129/123","ฮิบานี","d=7","me02.5#225 Scorbunny","216.7 THB (en 10.99USD)"
"130/123","มานิวลา","d=4","me02.5#228 Weavile","153.2 THB (en 7.77USD)"
"131/123","อมารูรูกา","d=5","me03#092 Aurorus","71.77 THB (en 3.64USD)"
"132/123","เดเด็นเนะ","d=6","me03#093 Dedenne","121.85 THB (en 6.18USD)"
"133/123","คุวากานอน","d=3","me02.5#230 Vikavolt","67.83 THB (en 3.44USD)"
"134/123","ปิปปี","d=9","me03#094 Clefairy","573.58 THB (en 29.09USD)"
"135/123","จุปเป็ตตะ","d=10","me02.5#234 Banette","244.5 THB (en 12.4USD)"
"136/123","เนียสเปอร์","d=5","me03#095 Espurr","118.9 THB (en 6.03USD)"
"137/123","เพโรรีม","d=7","me02.5#236 Slurpuff","191.06 THB (en 9.69USD)"
"138/123","คาโพเอลาร์","d=10","me02.5#240 Hitmontop","139.8 THB (en 7.09USD)"
"139/123","ไดโนซ","d=8","me03#096 Probopass","22.68 THB (en 1.15USD)"
"140/123","จิโกรัส","SKIP d=16","me01#152","Delibird"
"141/123","เมเลซี","d=6","me02.5#242 Carbink","115.35 THB (en 5.85USD)"
"142/123","กราเอนา","d=3","me02.5#243 Mightyena","201.51 THB (en 10.22USD)"
"143/123","โดราเปียน","d=8","me03#097 Drapion","29.97 THB (en 1.52USD)"
"144/123","คูชีท","d=6","me02.5#246 Mawile","147.88 THB (en 7.5USD)"
"145/123","นิดังกิล","d=5","me03#098 Doublade","58.36 THB (en 2.96USD)"
"146/123","รัตตา","d=5","me03#099 Raticate","62.31 THB (en 3.16USD)"
"147/123","มุคูฮอว์ก <ของอาโอกิ>","d=8","me02.5#249 Larry's Staraptor","105.88 THB (en 5.37USD)"
"148/123","จูไนเปอร์ex","d=10","me03#100 Decidueye ex","58.17 THB (en 2.95USD)"
"149/123","เนียวฮะex","d=7","me02.5#251 Sprigatito ex","90.7 THB (en 4.6USD)"
"150/123","เอ็นนิวท์ex","SKIP d=14","me03#101","Salazzle ex"
"151/123","เมก้าสตาร์มีex","d=12","me03#102 Mega Starmie ex","216.89 THB (en 11USD)"
"152/123","เมก้าปิคซีex","SKIP d=16","me03#103","Mega Clefable ex"
"153/123","เมก้าซีการ์ดex","d=10","me03#104 Mega Zygarde ex","196.19 THB (en 9.95USD)"
"154/123","อีเวลทอลex","SKIP d=14","me04#014","Litleo"
"155/123","เมก้าแอร์มุโดex","d=11","me03#106 Mega Skarmory ex","114.95 THB (en 5.83USD)"
"156/123","เนียสex","d=7","me03#107 Meowth ex","340.32 THB (en 17.26USD)"
"157/123","เมก้าทาบุนเนะex","d=10","me02.5#253 Mega Audino ex","64.08 THB (en 3.25USD)"
"158/123","เอนเนอร์จี้รีไซเคิล","d=13","me03#108 Energy Recycler","69.6 THB (en 3.53USD)"
"159/123","ขี้เถ้าศักดิ์สิทธิ์","SKIP d=17","me03#115","Sacred Ash"
"160/123","โปเกมอนแท็บเล็ต","SKIP d=14","me03#113","Poké Pad"
"161/123","วันเดอร์แพตช์","SKIP d=16","me03#117","Wondrous Patch"
"162/123","ทาร์รากอน","d=10","me03#116 Tarragon","58.56 THB (en 2.97USD)"
"163/123","ปูร์","d=7","me03#112 Naveen","56.19 THB (en 2.85USD)"
"164/123","คำสั่งของบอส","d=6","me02.5#256 Boss's Orders","296.95 THB (en 15.06USD)"
"165/123","กำลังใจจากเม","d=9","me03#114 Rosa's Encouragement","134.47 THB (en 6.82USD)"
"166/123","ยูคาริ","d=10","me03#110 Jacinthe","79.86 THB (en 4.05USD)"
"167/123","ป่าเปี่ยมพลัง","d=11","me03#109 Forest of Vitality","142.36 THB (en 7.22USD)"
"168/123","มิอาเรซิตี้","SKIP d=15","me04#088","Froakie"
"169/123","เมก้าเมกาเนียมex","d=12","me02.5#272 Mega Meganium ex","1909.84 THB (en 96.86USD)"
"170/123","เมก้าเอ็นบูโอex","d=7","me02.5#273 Mega Emboar ex","1115.22 THB (en 56.56USD)"
"171/123","เมก้าสตาร์มีex","SKIP d=15","me03#118","Mega Starmie ex"
"172/123","เมก้าออไดล์ex","d=13","me02.5#274 Mega Feraligatr ex","2921.34 THB (en 148.16USD)"
"173/123","พิคาชูex","d=7","me02.5#276 Pikachu ex","10431.15 THB (en 529.03USD)"
"174/123","ปิปปีex <ของลิเลีย>","d=11","me02.5#280 Lillie's Clefairy ex","3628.02 THB (en 184USD)"
"175/123","เมก้าปิคซีex","SKIP d=17","me02.5#194","Mystery Garden"
"176/123","เมก้าซีการ์ดex","d=11","me03#120 Mega Zygarde ex","1432.08 THB (en 72.63USD)"
"177/123","เนียสex","d=9","me03#121 Meowth ex","3929.11 THB (en 199.27USD)"
"178/123","กำลังใจจากเม","d=4","me03#123 Rosa's Encouragement","1365.63 THB (en 69.26USD)"
"179/123","ยูคาริ","d=6","me03#122 Jacinthe","725.21 THB (en 36.78USD)"
"180/123","เมก้าลิซาร์ดอน Yex","SKIP d=19","me01#085","Crawdaunt"
"181/123","เมก้าซีการ์ดex","SKIP d=21","me01#074","Lunatone"
